t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,vector.x,vector.y,vector.z
1759950519.9003084,41.078388098000005,1759950519.8998914,vicon/world,1759950519,899891467,-0.6031059876404209,-0.17760341809116978,0.0
1759950520.0005953,41.178675253,1759950520.00008,vicon/world,1759950520,80208,-0.6213359407614198,-0.17649635786212897,0.0
1759950520.1021914,41.280271406000004,1759950520.1018026,vicon/world,1759950520,101802689,-0.641643206282089,-0.17528280978879976,0.0
1759950520.202456,41.380535703,1759950520.1997678,vicon/world,1759950520,199767775,-0.6603467841629181,-0.17417811550373744,0.0
1759950520.3042936,41.482373473,1759950520.303297,vicon/world,1759950520,303296962,-0.6777284144443727,-0.17420404379461576,0.0
1759950520.4003758,41.578455783,1759950520.4000428,vicon/world,1759950520,400042774,-0.6956736847891525,-0.17278584357026636,0.0
1759950520.5003886,41.678468563,1759950520.4998207,vicon/world,1759950520,499820797,-0.714565754728621,-0.17168598183118267,0.0
1759950520.6028643,41.780944064,1759950520.6000094,vicon/world,1759950520,600009445,-0.7332205618420506,-0.17004783663247347,0.0
1759950520.7025518,41.880631866,1759950520.701571,vicon/world,1759950520,701570870,-0.7520053745236541,-0.16835377216744501,0.0
1759950520.803593,41.981672771,1759950520.7997472,vicon/world,1759950520,799747137,-0.7699116160887572,-0.1656818325297706,0.0
1759950520.9054394,42.083519286000005,1759950520.9049485,vicon/world,1759950520,904948584,-0.7899526771042134,-0.1643013810035835,0.0
1759950521.0008566,42.178936433000004,1759950521.0004303,vicon/world,1759950521,430315,-0.8073510259868604,-0.1618405237382329,0.0
1759950521.1027365,42.280816423000005,1759950521.1003597,vicon/world,1759950521,100359623,-0.8255101226382323,-0.15923558621648803,0.0
1759950521.2026634,42.380743367,1759950521.2003841,vicon/world,1759950521,200384061,-0.8437212668950889,-0.1564067508270072,0.0
1759950521.3015144,42.479594231,1759950521.2999442,vicon/world,1759950521,299944049,-0.8617250112232159,-0.1533489962669818,0.0
1759950521.4012866,42.579366411,1759950521.4003801,vicon/world,1759950521,400380216,-0.8752769411749642,-0.15237968580146874,0.0
1759950521.501577,42.679656752,1759950521.5010686,vicon/world,1759950521,501068603,-0.888656251705727,-0.1506033407902786,0.0
1759950521.6002178,42.778297598,1759950521.5999284,vicon/world,1759950521,599928400,-0.903849012516531,-0.1493356070655635,0.0
1759950521.700645,42.878724821000006,1759950521.6999881,vicon/world,1759950521,699988132,-0.9191767856345634,-0.14833247658356769,0.0
1759950521.8010964,42.979176466000006,1759950521.8003943,vicon/world,1759950521,800394344,-0.9341912984046004,-0.14734164476657322,0.0
1759950521.9006217,43.078701484,1759950521.899755,vicon/world,1759950521,899755110,-0.9486089309808448,-0.14636000487686268,0.0
1759950522.001012,43.179091955000004,1759950521.9997623,vicon/world,1759950521,999762243,-0.9626455644804982,-0.1453464965896175,0.0
1759950522.1005692,43.278648978,1759950522.100187,vicon/world,1759950522,100186975,-0.9745023697798302,-0.14435045754945092,0.0
1759950522.2008991,43.378979017000006,1759950522.2002933,vicon/world,1759950522,200293395,-0.9868402679872612,-0.1433708013277315,0.0
1759950522.3017585,43.479838408000006,1759950522.2998164,vicon/world,1759950522,299816322,-1.0027353646168107,-0.1457766332709761,0.0
1759950522.4122877,43.590367480000005,1759950522.4064977,vicon/world,1759950522,406497598,-1.0189410267700023,-0.14496838477576632,0.0
1759950522.5032988,43.681378481,1759950522.5028646,vicon/world,1759950522,502864485,-1.0289563187945792,-0.14462907292674385,0.0
1759950522.6006334,43.778713279,1759950522.5999463,vicon/world,1759950522,599946291,-1.040285740541947,-0.14411166604835193,0.0
1759950522.7028885,43.880968455,1759950522.7001565,vicon/world,1759950522,700156556,-1.0477622081055706,-0.14630965317456732,0.0
1759950522.8015916,43.979671382,1759950522.800079,vicon/world,1759950522,800079087,-1.0597970464574094,-0.14646173845507277,0.0
1759950522.9022403,44.080320169000004,1759950522.9000428,vicon/world,1759950522,900042739,-1.068028967830017,-0.1476983624454348,0.0
1759950523.000293,44.178372767000006,1759950522.9998188,vicon/world,1759950522,999818726,-1.0802453117396529,-0.14753145148989255,0.0
1759950523.1036725,44.281752271,1759950523.102714,vicon/world,1759950523,102714170,-1.092678902103365,-0.14754756607006544,0.0
1759950523.2004464,44.378526246,1759950523.200027,vicon/world,1759950523,200027091,-1.1033334939112696,-0.14792945175744035,0.0
1759950523.3016226,44.479702586,1759950523.2998128,vicon/world,1759950523,299812893,-1.1120890722094838,-0.15105504627887956,0.0
1759950523.4010758,44.579155589,1759950523.400647,vicon/world,1759950523,400646946,-1.124760499941853,-0.1512067140708601,0.0
1759950523.501027,44.679106964000006,1759950523.500397,vicon/world,1759950523,500397026,-1.137834456433849,-0.1510610560622549,0.0
1759950523.6004312,44.778511156,1759950523.600055,vicon/world,1759950523,600054955,-1.1496810233563144,-0.15151615445571115,0.0
1759950523.7015362,44.879615931000004,1759950523.6998675,vicon/world,1759950523,699867582,-1.160884032473194,-0.1523513016773665,0.0
1759950523.805028,44.983107797,1759950523.8028219,vicon/world,1759950523,802821991,-1.1716763195616533,-0.15358457922949414,0.0
1759950523.9007816,45.078861629,1759950523.900284,vicon/world,1759950523,900284015,-1.1803538999863075,-0.15554855833577627,0.0
1759950524.0008516,45.178931358,1759950524.0003395,vicon/world,1759950524,339468,-1.1889528188064973,-0.15761834500368746,0.0
1759950524.1004038,45.278483607000005,1759950524.0999432,vicon/world,1759950524,99943248,-1.202093098916384,-0.15779284622995782,0.0
1759950524.2053547,45.38343445,1759950524.2007747,vicon/world,1759950524,200774559,-1.2136077695115293,-0.15865555230395048,0.0
1759950524.3001895,45.478269507,1759950524.299758,vicon/world,1759950524,299757967,-1.2258422503503126,-0.15898053107695717,0.0
1759950524.4003735,45.578453149000005,1759950524.3998132,vicon/world,1759950524,399813154,-1.237369474720627,-0.15988977126629095,0.0
1759950524.4999547,45.678034522000004,1759950524.4996386,vicon/world,1759950524,499638623,-1.2488201917107435,-0.1608165331973923,0.0
1759950524.6033347,45.78141464,1759950524.602835,vicon/world,1759950524,602834867,-1.2590055290662314,-0.16276513810499896,0.0
1759950524.701369,45.879448744,1759950524.6999185,vicon/world,1759950524,699918497,-1.2708477308368664,-0.16320708709699547,0.0
1759950524.80532,45.983399858000006,1759950524.7999861,vicon/world,1759950524,799986052,-1.2830964506610854,-0.16366677750641723,0.0
1759950524.900326,46.078405914,1759950524.8997493,vicon/world,1759950524,899749185,-1.2935577809955545,-0.16525260474124293,0.0
1759950525.0004947,46.178574510000004,1759950525.0001047,vicon/world,1759950525,104676,-1.3037131188395639,-0.16182533564356996,0.0
1759950525.1008475,46.278927376000006,1759950525.1002517,vicon/world,1759950525,100251755,-1.3138019633734241,-0.16006638408037926,0.0
1759950525.201553,46.37963276,1759950525.2011962,vicon/world,1759950525,201196130,-1.3251061521575833,-0.15939435029104,0.0
1759950525.3003392,46.478419075000005,1759950525.2998526,vicon/world,1759950525,299852638,-1.3368416824494829,-0.15933073933704783,0.0
1759950525.4001026,46.57818238,1759950525.3997297,vicon/world,1759950525,399729847,-1.3485164534920921,-0.15910238414362543,0.0
1759950525.5040267,46.68210655,1759950525.501661,vicon/world,1759950525,501660994,-1.3604669715406188,-0.15884909558938287,0.0
1759950525.600075,46.778155014000006,1759950525.5997567,vicon/world,1759950525,599756614,-1.3704301786928104,-0.15750942585417918,0.0
1759950525.705844,46.883923699,1759950525.6998405,vicon/world,1759950525,699840582,-1.3810698780520252,-0.156461446648817,0.0
1759950525.8006372,46.978717252,1759950525.800252,vicon/world,1759950525,800251955,-1.3929661268781457,-0.15628845031703745,0.0
1759950525.9008372,47.078917027,1759950525.9002373,vicon/world,1759950525,900237279,-1.4033298071259728,-0.1550286239109593,0.0
1759950526.000525,47.178604825,1759950525.999912,vicon/world,1759950525,999911938,-1.413633045384325,-0.15372308062723444,0.0
1759950526.101542,47.279621894,1759950526.1008868,vicon/world,1759950526,100886746,-1.421393478576177,-0.1505915924589154,0.0
1759950526.2000732,47.378153229000006,1759950526.1997542,vicon/world,1759950526,199754274,-1.4290529553150255,-0.15241315537199873,0.0
1759950526.3022025,47.480282251000006,1759950526.301238,vicon/world,1759950526,301238072,-1.4403817480872314,-0.1522103502234462,0.0
1759950526.4005322,47.578612189000005,1759950526.3998418,vicon/world,1759950526,399841721,-1.4516317096229545,-0.1520073338199841,0.0
1759950526.5010154,47.679095144,1759950526.5007293,vicon/world,1759950526,500729215,-1.463579377753202,-0.15067516469855868,0.0
1759950526.6005309,47.778610599000004,1759950526.6001594,vicon/world,1759950526,600159323,-1.4739164915044256,-0.15009573418380937,0.0
1759950526.7004988,47.878578605,1759950526.6998472,vicon/world,1759950526,699847293,-1.4852739981369207,-0.14983138839994256,0.0
1759950526.8011606,47.979240473000004,1759950526.8002808,vicon/world,1759950526,800280904,-1.4920463842939744,-0.15147573317005747,0.0
1759950526.9004955,48.078575257000004,1759950526.8997748,vicon/world,1759950526,899774798,-1.5027754515886746,-0.1515751669390574,0.0
1759950527.0050886,48.183168426,1759950527.0000126,vicon/world,1759950527,12662,-1.5128889096259557,-0.15160764337005372,0.0
1759950527.1017113,48.279790969000004,1759950527.0998082,vicon/world,1759950527,99808218,-1.5228801094238518,-0.15165892739313686,0.0
1759950527.2015061,48.379585927,1759950527.200605,vicon/world,1759950527,200604823,-1.5340131498455354,-0.1514997958876493,0.0
1759950527.3012738,48.479353667000005,1759950527.2999284,vicon/world,1759950527,299928530,-1.543527511401696,-0.1516423805170415,0.0
1759950527.401625,48.579704812,1759950527.401154,vicon/world,1759950527,401153950,-1.553237263801529,-0.1517812937575668,0.0
1759950527.5002565,48.678336491,1759950527.499767,vicon/world,1759950527,499767019,-1.561573598602291,-0.153383861199106,0.0
