t,t_rel,header.stamp,header.frame_id,header.stamp.sec,header.stamp.nanosec,child_frame_id,transform.translation.x,transform.translation.y,transform.translation.z,transform.rotation.x,transform.rotation.y,transform.rotation.z,transform.rotation.w
1759950541.9417686,63.119848307000005,1759950541.9102907,vicon/world,1759950541,910290792,vicon/x500_4/x500_4,0.09913355386328768,-0.1080943526007666,0.8204963990581302,-0.0010792608045803076,0.010940883627917784,0.9746702691473577,-0.22337636110782508
1759950541.953886,63.131965917,1759950541.9203918,vicon/world,1759950541,920391697,vicon/x500_4/x500_4,0.09912035534916544,-0.10817949880507298,0.8205013742048199,-0.0012332441062276455,0.011492475761743002,0.9746412455872397,-0.2234744829057539
1759950541.9583979,63.13647764700001,1759950541.9302979,vicon/world,1759950541,930297932,vicon/x500_4/x500_4,0.09915877464482528,-0.108327190294454,0.8205402866384965,-0.0011342837609231047,0.011468553016187719,0.9747198514546191,-0.22313313710058807
1759950541.9697084,63.147788349,1759950541.940151,vicon/world,1759950541,940151058,vicon/x500_4/x500_4,0.09911834965315618,-0.10841341649705767,0.8205197138343213,-0.0020809171328679075,0.012216224003744058,0.9747581837491986,-0.22291908143750278
1759950541.9796896,63.157769391,1759950541.9505913,vicon/world,1759950541,950591265,vicon/x500_4/x500_4,0.09919522963839783,-0.10855306049122651,0.8205909093217639,-0.0014991923302427668,0.013298021956084255,0.974552435383851,-0.22375983938548394
1759950541.9967623,63.174842017,1759950541.9603138,vicon/world,1759950541,960313872,vicon/x500_4/x500_4,0.09913535245403841,-0.10866813580327554,0.8204876334457236,-0.0015185879803264065,0.011519383089815557,0.9748737999475231,-0.2224546512879711
1759950542.0000052,63.178085190000004,1759950541.9703183,vicon/world,1759950541,970318420,vicon/x500_4/x500_4,0.0991585778831457,-0.10882783901676238,0.8205024134323111,-0.0012628396102424095,0.011453595195335134,0.9749291114426116,-0.22221711917613335
1759950542.0126455,63.190725215,1759950541.9808612,vicon/world,1759950541,980861078,vicon/x500_4/x500_4,0.09916192243585026,-0.10898808301377429,0.8204981035254462,-0.0011121040597194788,0.010985283062642974,0.9749774862901687,-0.22202925034305301
1759950542.0217526,63.199832482000005,1759950541.991463,vicon/world,1759950541,991462967,vicon/x500_4/x500_4,0.0991360068467094,-0.10911423093573051,0.8204616710372638,-0.0026347798819688576,0.012196272476196523,0.9749274035154868,-0.2221730558533399
1759950542.0337918,63.211871779000006,1759950542.000413,vicon/world,1759950542,412838,vicon/x500_4/x500_4,0.09917849900270122,-0.10926793988541382,0.8204659636733637,-0.0017437243624735148,0.01143840856324202,0.9749724823081406,-0.22202428015149744
1759950542.0390227,63.217102535,1759950542.0100262,vicon/world,1759950542,10026132,vicon/x500_4/x500_4,0.0992215026648755,-0.10947628029844976,0.8203809146932824,-0.0017496905591053624,0.011197968445807975,0.9750549295184382,-0.22167414938920502
1759950542.0511336,63.229213443000006,1759950542.0205088,vicon/world,1759950542,20508755,vicon/x500_4/x500_4,0.09920229430328435,-0.10964434488603549,0.8203026224457548,-0.0020029377177448724,0.010983826637898606,0.9750756975403837,-0.2215913533038272
